src,des,value
hizdahr,reznak,12
jhogo,jorah,12
denys,jon,12
donal,jon,12
axell,davos,12
daenerys,jorah,12
cersei,margaery,12
catelyn,frey,12
jon,septon,12
bowen,othell,12
cersei,tywin,12
lommy,yoren,12
jaime,ned,12
davos,salladhor,12
eddard,robert,11
barristan,quentyn,11
kevan,lancel,11
creighton,illifer,11
pycelle,robert,11
jhiqui,jorah,11
ned,pycelle,11
arya,roose,11
jory,ned,11
sansa,tyrion,11
bronn,chiggen,11
harma,jon,11
esgred,theon,11
jaime,kevan,11
darry,lancel,11
meryn,sansa,11
dalla,jon,11
haggon,varamyr,11
gregor,tywin,11
barristan,ned,11
brown,daario,11
gilly,jon,11
asha,rodrik,11
jaime,vargo,10
eddard,jon,10
ilyn,sansa,10
jaime,renly,10
irri,jorah,10
brienne,septon,10
barristan,khrazz,10
bronn,lollys,10
moqorro,victarion,10
asha,victarion,10
jorah,tyrion,10
jon,mord,10
jon,queen,10
asha,galbart,10
sansa,tywin,10
ned,sansa,10
daenerys,hizdahr,10
arya,catelyn,10
aeron,asha,10
drogo,mirri,10
brandon,ned,10
renly,tywin,10
hoster,jaime,10
yandry,ysilla,10
catelyn,stannis,10
brienne,creighton,10
jon,styr,10
eddard,ned,10
drogo,viserys,10
catelyn,jon,10
catelyn,theon,10
queen,stannis,10
jon,rickon,10
sweets,yezzan,10
jon,owen,10
tyrion,varys,10
craster,mormont,10
mance,ygritte,10
aeron,balon,10
jorah,mormont,10
robert,varys,10
hot,lommy,10
cersei,qyburn,10
asha,euron,9
merrett,petyr,9
brandon,rickard,9
mace,stannis,9
asha,balon,9
dornish,myrcella,9
jon,kegs,9
clydas,sam,9
mord,shae,9
brienne,gendry,9
arianne,cedra,9
queen,sansa,9
cersei,tommen,9
roose,stannis,9
ned,tywin,9
catelyn,jeyne,9
barristan,jaime,9
davos,robert,9
asha,stannis,9
roose,theon,9
arya,frey,9
davos,godric,9
barristan,groleo,9
arya,jeyne,9
hodor,rodrik,9
arya,harwin,9
bronn,catelyn,9
ned,rhaegar,9
nymeria,sansa,9
aegon,rhaegar,9
mirri,qotho,9
gendry,thoros,9
stannis,tyrion,9
bannen,sam,9
boros,sansa,9
hodor,rickon,9
jaime,ryman,9
haggo,qotho,9
davos,devan,9
jorah,mirri,9
asha,theon,9
axell,stannis,9
arya,mycah,9
lyanna,ned,9
gendry,tom,9
ramsay,roose,8
catelyn,roslin,8
arya,vargo,8
arstan,kraznys,8
sansa,shae,8
gregor,ned,8
daario,daenerys,8
aerys,rhaegar,8
moon,osmund,8
sandor,tickler,8
arya,ramsay,8
hodor,old,8
lollys,tanda,8
emmon,jaime,8
barristan,missandei,8
jorah,rhaegar,8
melisandre,queen,8
drogo,jhiqui,8
cortnay,stannis,8
catelyn,mya,8
belwas,jorah,8
rattleshirt,ygritte,8
denys,sam,8
hodor,osha,8
arianne,garin,8
catelyn,robb,8
nurse,yezzan,8
bracken,jaime,8
chett,sam,8
dontos,florian,8
margaery,osney,8
daenerys,viserys,8
aeron,victarion,8
ramsay,theon,8
brienne,timeon,8
maegor,sansa,8
areo,arianne,8
mya,robert,8
robert,tyrion,8
lancel,robert,8
dywen,jon,8
aegon,robert,8
daenerys,drogo,8
balon,theon,8
