,degree
steelskin,0.004016064257028112
sigorn,0.004016064257028112
viserys,0.004016064257028112
denys,0.004016064257028112
patrek,0.004016064257028112
tytos,0.004016064257028112
thistle,0.004016064257028112
janos,0.004016064257028112
godric,0.004016064257028112
galbart,0.004016064257028112
rattleshirt,0.004016064257028112
haggon,0.004016064257028112
ygritte,0.004016064257028112
satin,0.004016064257028112
sybelle,0.004016064257028112
narbert,0.004016064257028112
selyse,0.004016064257028112
alysane,0.004016064257028112
aeron,0.004016064257028112
eddard,0.004016064257028112
scar,0.004016064257028112
brandon,0.004016064257028112
belaquo,0.004016064257028112
frenya,0.004016064257028112
aemon,0.004016064257028112
kedry,0.004016064257028112
stalwart,0.004016064257028112
squirrel,0.004016064257028112
great,0.004016064257028112
bartimus,0.004016064257028112
owen,0.004016064257028112
grenn,0.004016064257028112
benjen,0.004016064257028112
wylis,0.004016064257028112
little,0.004016064257028112
cromm,0.004016064257028112
grimtongue,0.004016064257028112
barbrey,0.004016064257028112
brynden,0.004016064257028112
leaf,0.004016064257028112
rory,0.004016064257028112
leathers,0.004016064257028112
weeper,0.004016064257028112
hairy,0.004016064257028112
hagen,0.004016064257028112
mollono,0.004016064257028112
leona,0.004016064257028112
willem,0.004016064257028112
