src,des,value
jaime,walton,3
barristan,jorah,3
mycah,sandor,3
catelyn,tywin,3
red,tyrion,2
genna,kevan,2
arya,beric,2
mully,satin,2
donal,robert,2
grey,jeyne,2
bastard,jon,2
cressen,pylos,2
hoster,jon,2
frey,jeyne,2
jeyne,kevan,2
aenys,jaime,2
balon,meryn,2
grenn,mance,2
martyn,tywin,2
rattleshirt,tormund,2
brienne,roose,2
bronn,gregor,2
harma,styr,2
kegs,mance,2
kegs,satin,2
tarth,vargo,2
hoster,lothar,2
frey,lothar,2
tywin,walder,2
clegane,dondarrion,2
catelyn,rickon,2
jon,joramun,2
harwin,mycah,2
harren,jaime,2
brynden,rickard,2
shagga,timett,2
jon,spare,2
clegane,gendry,2
grenn,satin,2
bronn,sansa,2
old,tormund,2
addam,podrick,2
jack-be-lucky,thoros,2
lothar,walder,2
grenn,spare,2
eddard,edmure,2
grenn,owen,2
jack,thoros,2
andrew,edric,2
blane,sam,2
pylos,stannis,2
tywin,willas,2
arya,jack-be-lucky,2
arstan,rhaegar,2
fingers,petyr,2
mormont,thoren,2
mace,rowan,2
ashford,mace,2
jon,rast,2
aegon,baelor,2
balon,tywin,2
robert,viserys,2
thoros,tywin,2
robert,tyrion,2
jon,tywin,2
melisandre,queen,2
rhaegar,tywin,2
arya,greenbeard,2
greenbeard,tom,2
emmon,robar,2
jaime,stannis,2
amory,oberyn,2
mallador,sam,2
ottyn,sam,2
balon,brienne,2
daenerys,rhaegar,2
dywen,sam,2
blood,jorah,2
catelyn,loras,2
aerys,maegor,2
jojen,old,2
catelyn,galbart,2
brienne,loras,2
melisandre,robert,2
grandison,robert,2
alester,lamprey,2
kevan,robert,2
davos,porridge,2
aegon,torrhen,2
sandor,thoros,2
lothor,marillion,2
arya,carellen,2
alla,sansa,2
elinor,sansa,2
jon,othell,2
catelyn,petyr,2
loras,renly,2
catelyn,robb,2
loras,stannis,2
jaime,robb,2
jenny,petyr,2
garlan,sansa,2
ned,sansa,2
gerald,stannis,2
dontos,willas,2
lysa,tywin,2
hot,sharna,2
dornish,tywin,2
beric,harwin,2
